row,column,layer,node,Reach,Stage,Bottom,Conductanc,Conc,Width,Length,Thickness,K
"128","1","1","0","0",16.030000,10.648000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"127","1","1","0","0",16.032000,9.480000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"127","2","1","0","0",16.031000,10.800000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"126","1","1","0","0",16.032000,11.159000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"126","2","1","0","0",16.030000,10.906000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"127","3","1","0","0",16.028000,10.948000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"126","3","1","0","0",16.028000,15.038000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"126","4","1","0","0",16.029000,15.325000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"126","5","1","0","0",16.031000,14.922000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"125","1","1","0","0",16.030000,9.250000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"125","2","1","0","0",16.028000,11.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"125","3","1","0","0",16.028000,11.272000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"125","4","1","0","0",16.030000,12.146000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"125","5","1","0","0",16.031000,13.267000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"125","6","1","0","0",16.037000,14.769000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","1","1","0","0",16.028000,14.564000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","2","1","0","0",16.028000,11.203000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","3","1","0","0",16.029000,9.204000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","4","1","0","0",16.031000,9.469000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","5","1","0","0",16.035000,13.342000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","6","1","0","0",16.040000,13.555000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"124","7","1","0","0",16.045000,14.740000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","1","1","0","0",16.028000,14.358000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","2","1","0","0",16.029000,14.387000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","3","1","0","0",16.031000,12.094000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","4","1","0","0",16.034000,8.008000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","5","1","0","0",16.039000,8.877000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","6","1","0","0",16.044000,13.063000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","7","1","0","0",16.047000,14.433000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"123","8","1","0","0",16.049000,15.056000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","2","1","0","0",16.031000,13.886000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","3","1","0","0",16.033000,14.141000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","4","1","0","0",16.038000,12.159000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","5","1","0","0",16.043000,7.286000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","6","1","0","0",16.047000,8.337000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","7","1","0","0",16.048000,13.245000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"122","8","1","0","0",16.050000,14.903000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"121","4","1","0","0",16.042000,10.659000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"121","5","1","0","0",16.047000,12.098000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"121","6","1","0","0",16.048000,7.232000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"121","7","1","0","0",16.050000,8.506000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"121","8","1","0","0",16.052000,12.960000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"121","9","1","0","0",16.053000,15.440000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"120","5","1","0","0",16.049000,13.796000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"120","6","1","0","0",16.051000,12.161000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"120","7","1","0","0",16.052000,8.291000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"120","8","1","0","0",16.053000,8.678000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"120","9","1","0","0",16.054000,14.762000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"120","10","1","0","0",16.056000,15.927000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"119","6","1","0","0",16.054000,13.169000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"119","7","1","0","0",16.055000,12.481000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"119","8","1","0","0",16.056000,9.273000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"119","9","1","0","0",16.056000,9.167000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"119","10","1","0","0",16.057000,15.998000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"118","6","1","0","0",16.057000,14.549000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"118","7","1","0","0",16.057000,11.672000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"118","8","1","0","0",16.056000,8.998000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"118","9","1","0","0",16.056000,10.098000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"118","10","1","0","0",16.054000,15.885000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"117","7","1","0","0",16.051000,14.855000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"117","8","1","0","0",16.050000,8.378000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"117","9","1","0","0",16.050000,10.247000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
"117","10","1","0","0",16.049000,15.859000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000
