ts,value
2021-03-09 23:41:12.112,
2021-03-10 00:03:52.165,
2021-03-10 00:31:00.899,
2021-03-10 00:32:26.276,
2021-03-10 00:40:13.120,
2021-03-10 01:27:40.798,
2021-03-10 01:58:55.258,
2021-03-10 02:30:10.618,
2021-03-10 03:01:25.958,
2021-03-10 03:32:41.708,
2021-03-10 04:03:56.699,
2021-03-10 04:35:12.538,
2021-03-10 05:06:28.270,
2021-03-10 05:37:43.131,
2021-03-10 06:08:58.091,
2021-03-10 06:40:14.751,
2021-03-10 07:11:30.702,
2021-03-10 07:42:46.924,
2021-03-10 08:14:00.154,
2021-03-10 08:45:16.114,
2021-03-10 09:16:30.294,
2021-03-10 09:47:46.243,
2021-03-10 10:19:02.084,
2021-03-10 10:50:16.397,
2021-03-10 11:21:33.266,
2021-03-10 11:52:47.364,
2021-03-10 12:15:20.267,13.812695000000001
2021-03-10 12:18:23.391,13.815595000000002
2021-03-10 12:50:27.159,13.818100000000001
2021-03-10 13:22:32.679,13.820905000000002
2021-03-10 13:54:35.829,13.812755000000001
2021-03-10 14:26:39.426,13.816865000000004
2021-03-10 14:58:46.788,13.82279
2021-03-10 15:30:47.608,13.822404999999998
2021-03-10 16:02:52.835,
2021-03-13 14:56:02.994,
2021-03-13 15:27:58.683,
2021-03-13 15:59:54.430,
2021-03-13 16:31:50.250,
2021-03-13 17:03:54.171,15.224595
2021-03-13 17:35:58.150,15.254535
2021-03-13 18:08:02.266,15.25331
2021-03-13 18:45:07.003,15.25429
2021-03-13 19:17:11.143,15.260425000000001
2021-03-13 19:49:15.265,15.258435
2021-03-13 20:21:19.285,15.257204999999999
2021-03-13 20:53:23.463,15.25857
2021-03-13 21:25:27.502,15.258175000000001
2021-03-13 21:57:31.547,15.259965000000001
2021-03-13 22:29:35.706,15.259465
2021-03-13 23:01:39.778,15.260190000000001
2021-03-13 23:33:44.099,15.259665000000002
2021-03-14 00:05:48.234,15.261015
2021-03-14 00:37:52.148,15.263005
2021-03-14 01:09:56.346,15.263185
2021-03-14 01:42:00.502,15.264615000000001
2021-03-14 02:14:04.642,15.26591
2021-03-14 02:46:08.641,15.268965000000001
2021-03-14 03:18:12.622,15.269175
2021-03-14 03:50:16.670,15.27058
2021-03-14 04:22:20.602,15.271965
2021-03-14 04:54:24.833,15.271095
2021-03-14 05:26:28.707,15.270425000000001
2021-03-14 05:58:32.878,15.273005
2021-03-14 06:30:36.801,15.272695
2021-03-14 07:02:41.192,15.271645
2021-03-14 07:34:45.233,15.265750000000002
2021-03-14 08:06:49.200,15.259555
2021-03-14 08:38:53.320,15.253055000000002
2021-03-14 09:10:57.497,15.243895000000002
2021-03-14 09:43:01.499,15.233960000000002
2021-03-14 10:15:05.673,15.228450000000006
2021-03-14 10:47:09.405,15.223705
